event_id,p_star,q_star,a11,a12,a21,a22,b11,b12,b21,b22,t1,t2,t3,t4,t5,merging_id,lag_id,lead_id
2257.0,1.0,0.053673410077490845,1.0,-0.056717639184043156,0.0,0.0,1.0,-1.0567176391840432,1.0,-1248.3720028202154,0,-1.0567176391840432,0,-1248.3720028202154,0,2392.0,2486.0,-9999.0
2258.0,1.0,0.052805594845091626,1.0,-0.055749479259704415,0.0,0.0,1.0,-1.0557494792597044,1.0,-1248.3720028202154,0,-1.0557494792597044,0,-1248.3720028202154,0,2392.0,2486.0,-9999.0
2259.0,1.0,0.051591448827923846,1.0,-0.05439791613452383,0.0,0.0,1.0,-1.0543979161345238,1.0,-1248.3720028202154,0,-1.0543979161345238,0,-1248.3720028202154,0,2392.0,2486.0,-9999.0
2260.0,1.0,0.04882101142052646,1.0,-0.051326839645015276,0.0,0.0,1.0,-1.0513268396450153,1.0,-1248.3720028202154,0,-1.0513268396450153,0,-1248.3720028202154,0,2392.0,2486.0,-9999.0
2261.0,1.0,0.04497393079526087,1.0,-0.04709183575764708,0.0,0.0,1.0,-1.047091835757647,1.0,-1248.3720028202154,0,-1.047091835757647,0,-1248.3720028202154,0,2392.0,2486.0,-9999.0
2262.0,1.0,0.04063620131484458,1.0,-0.0423574470607897,0.0,0.0,1.0,-1.0423574470607897,1.0,-1248.3720028202154,0,-1.0423574470607897,0,-1248.3720028202154,0,2392.0,2486.0,-9999.0
2263.0,1.0,0.03673103500515492,1.0,-0.038131649975198245,0.0,0.0,1.0,-1.0381316499751982,1.0,-1248.3720028202154,0,-1.0381316499751982,0,-1248.3720028202154,0,2392.0,2486.0,-9999.0
2264.0,1.0,0.033507805309575756,1.0,-0.03466950431018079,0.0,0.0,1.0,-1.0346695043101808,1.0,-1248.3720028202154,0,-1.0346695043101808,0,-1248.3720028202154,0,2392.0,2486.0,-9999.0
2265.0,1.0,0.031142909508485393,1.0,-0.0321439661371381,0.0,0.0,1.0,-1.032143966137138,1.0,-1248.3720028202154,0,-1.032143966137138,0,-1248.3720028202154,0,2392.0,2486.0,-9999.0
2266.0,1.0,0.03060002887329211,1.0,-0.03156594778698674,0.0,0.0,1.0,-1.0315659477869867,1.0,-1248.3720028202154,0,-1.0315659477869867,0,-1248.3720028202154,0,2392.0,2486.0,-9999.0
2267.0,1.0,0.030287304589938176,1.0,-0.031233276343907823,0.0,0.0,1.0,-1.0312332763439078,1.0,-1248.3720028202154,0,-1.0312332763439078,0,-1248.3720028202154,0,2392.0,2486.0,-9999.0
2268.0,1.0,0.03002560757901169,1.0,-0.030955051817471047,0.0,0.0,1.0,-1.030955051817471,1.0,-1248.3720028202154,0,-1.030955051817471,0,-1248.3720028202154,0,2392.0,2486.0,-9999.0
2269.0,1.0,0.029951774925051206,1.0,-0.030876583401548974,0.0,0.0,1.0,-1.030876583401549,1.0,-1248.3720028202154,0,-1.030876583401549,0,-1248.3720028202154,0,2392.0,2486.0,-9999.0
2270.0,1.0,0.029898110835577783,1.0,-0.03081955737796771,0.0,0.0,1.0,-1.0308195573779677,1.0,-1248.3720028202154,0,-1.0308195573779677,0,-1248.3720028202154,0,2392.0,2486.0,-9999.0
2271.0,1.0,0.029844414951816948,1.0,-0.030762503882647563,0.0,0.0,1.0,-1.0307625038826476,1.0,-1248.3720028202154,0,-1.0307625038826476,0,-1248.3720028202154,0,2392.0,2486.0,-9999.0
2272.0,1.0,0.029669673764967864,1.0,-0.030576879813793756,0.0,0.0,1.0,-1.0305768798137938,1.0,-1248.3720028202154,0,-1.0305768798137938,0,-1248.3720028202154,0,2392.0,2486.0,-9999.0
2273.0,1.0,0.029219265895091873,1.0,-0.030098728650639117,0.0,0.0,1.0,-1.0300987286506391,1.0,-1248.3720028202154,0,-1.0300987286506391,0,-1248.3720028202154,0,2392.0,2486.0,-9999.0
2274.0,1.0,0.027804994709841192,1.0,-0.028600223780765655,0.0,0.0,1.0,-1.0286002237807657,1.0,-1248.3720028202154,0,-1.0286002237807657,0,-1248.3720028202154,0,2392.0,2486.0,-9999.0
