event_id,t2,t4,merging_id,lead_id,lag_id,LC,Final_follower_decision,Previous_decision,Time_lapsed,Time_norm,Time_log,Time_bin,PrevDec_0,PrevDec_1,PrevDec_2
2400,-1.038025577039102,-358.1166552623071,1140.0,-9999.0,1293.0,0.0,0.0,0,39.0,-0.8237572933738256,3.6888794541139363,3,1,0,0
2401,-1.0346993564157094,-358.1166552623071,1140.0,-9999.0,1293.0,0.0,0.0,0,39.0,-0.8237572933738256,3.6888794541139363,3,1,0,0
2402,-1.0313122678556752,-358.1166552623071,1140.0,-9999.0,1293.0,0.0,0.0,0,39.0,-0.8237572933738256,3.6888794541139363,3,1,0,0
2403,-1.0283372114473348,-358.1166552623071,1140.0,-9999.0,1293.0,0.0,0.0,0,39.0,-0.8237572933738256,3.6888794541139363,3,1,0,0
2404,-1.0257322532353632,-358.1166552623071,1140.0,-9999.0,1293.0,0.0,0.0,0,39.0,-0.8237572933738256,3.6888794541139363,3,1,0,0
2405,-1.022663570431708,-358.1166552623071,1140.0,-9999.0,1293.0,0.0,0.0,0,39.0,-0.8237572933738256,3.6888794541139363,3,1,0,0
2406,-1.0202513896791283,-358.1166552623071,1140.0,-9999.0,1293.0,0.0,0.0,0,39.0,-0.8237572933738256,3.6888794541139363,3,1,0,0
2407,-1.0179529969334713,-358.1166552623071,1140.0,-9999.0,1293.0,0.0,0.0,0,39.0,-0.8237572933738256,3.6888794541139363,3,1,0,0
2408,-1.0156575252089477,-358.1166552623071,1140.0,-9999.0,1293.0,0.0,0.0,0,39.0,-0.8237572933738256,3.6888794541139363,3,1,0,0
2409,-1.013050609276535,-358.1166552623071,1140.0,-9999.0,1293.0,0.0,0.0,0,39.0,-0.8237572933738256,3.6888794541139363,3,1,0,0
2410,-1.0107036874970283,-358.1166552623071,1140.0,-9999.0,1293.0,0.0,0.0,0,39.0,-0.8237572933738256,3.6888794541139363,3,1,0,0
2411,-1.0088877821796856,-358.1166552623071,1140.0,-9999.0,1293.0,0.0,0.0,0,39.0,-0.8237572933738256,3.6888794541139363,3,1,0,0
2412,-1.0066405424335374,-358.1166552623071,1140.0,-9999.0,1293.0,0.0,0.0,0,39.0,-0.8237572933738256,3.6888794541139363,3,1,0,0
2413,-1.0309311175080158,-672.5849501801617,128.0,-9999.0,165.0,1.0,0.0,0,25.0,-0.879427341734924,3.258096538021482,2,1,0,0
2414,-1.02848503928681,-672.5849501801617,128.0,-9999.0,165.0,0.0,0.0,0,25.0,-0.879427341734924,3.258096538021482,2,1,0,0
2415,-1.026037267190809,-672.5849501801617,128.0,-9999.0,165.0,0.0,0.0,0,25.0,-0.879427341734924,3.258096538021482,2,1,0,0
2416,-1.0229741397798515,-672.5849501801617,128.0,-9999.0,165.0,0.0,0.0,0,25.0,-0.879427341734924,3.258096538021482,2,1,0,0
2417,-1.0210700571514797,-672.5849501801617,128.0,-9999.0,165.0,0.0,0.0,0,25.0,-0.879427341734924,3.258096538021482,2,1,0,0
2418,-1.0189077311565538,-672.5849501801617,128.0,-9999.0,165.0,0.0,0.0,0,25.0,-0.879427341734924,3.258096538021482,2,1,0,0
2419,-1.0163058333540973,-672.5849501801617,128.0,-9999.0,165.0,0.0,0.0,0,25.0,-0.879427341734924,3.258096538021482,2,1,0,0
2420,-1.013477940812242,-672.5849501801617,128.0,-9999.0,165.0,0.0,0.0,0,25.0,-0.879427341734924,3.258096538021482,2,1,0,0
2421,-1.0103124104313916,-672.5849501801617,128.0,-9999.0,165.0,0.0,0.0,0,25.0,-0.879427341734924,3.258096538021482,2,1,0,0
2422,-1.0075148850725533,-672.5849501801617,128.0,-9999.0,165.0,0.0,0.0,0,25.0,-0.879427341734924,3.258096538021482,2,1,0,0
2423,-1.0057677360120614,-672.5849501801617,128.0,-9999.0,165.0,0.0,0.0,0,25.0,-0.879427341734924,3.258096538021482,2,1,0,0
2424,-1.0790460392951344,-381.7160444211788,668.0,-9999.0,798.0,1.0,0.0,2,2.0,-0.970885278328157,1.0986122886681098,0,0,0,1
2425,-1.076002168674488,-381.7160444211788,668.0,-9999.0,798.0,0.0,0.0,2,2.0,-0.970885278328157,1.0986122886681098,0,0,0,1
2426,-1.072007816174403,-381.7160444211788,668.0,-9999.0,798.0,0.0,0.0,2,2.0,-0.970885278328157,1.0986122886681098,0,0,0,1
2427,-1.067699433561878,-381.7160444211788,668.0,-9999.0,798.0,0.0,0.0,2,2.0,-0.970885278328157,1.0986122886681098,0,0,0,1
